"X.id.....id","X.y.....y","X.gender.....gender","X.time.....time"
1,20.1418309039536,0,8
1,19.7862445406718,0,10
1,19.6717166669763,0,12
1,24.0256082216753,0,14
2,25.7264848593196,0,8
2,25.4523947359259,0,10
2,22.6826634546298,0,12
2,24.7439274340243,0,14
3,14.0004070048177,1,8
3,19.8266143206739,1,10
3,21.5595265469528,1,12
3,13.3778552020319,1,14
4,17.0118501622234,0,8
4,20.6904463935032,0,10
4,18.0524631282501,0,12
4,19.0122685632111,0,14
5,25.6027747870056,1,8
5,29.6350234271781,1,10
5,23.3430326072916,1,12
5,26.8794256298382,1,14
6,32.8662865921814,1,8
6,24.902847239474,1,10
6,29.5283648434873,1,12
6,31.5855885813222,1,14
7,16.383935641661,0,8
7,15.9643625012414,0,10
7,19.4860382027831,0,12
7,21.6943026817738,0,14
8,19.3582111938988,1,8
8,23.2100657069092,1,10
8,23.7064461073839,1,12
8,23.2631594044423,1,14
9,23.8137500493613,0,8
9,17.7858769113343,0,10
9,26.2865844891369,0,12
9,21.1188650596311,0,14
10,18.0670168046674,1,8
10,23.2932165245834,1,10
10,20.1025217515767,1,12
10,20.596407044817,1,14
11,19.1526017087993,1,8
11,23.3530819607433,1,10
11,20.425833128473,1,12
11,21.1519380129545,1,14
12,32.0005368862774,1,8
12,33.1892249334172,1,10
12,29.3511002019794,1,12
12,27.3969456230128,1,14
13,25.257459947393,1,8
13,29.7219712462362,1,10
13,31.6776964388311,1,12
13,31.7813531767966,1,14
14,31.5814217241159,1,8
14,31.6832544701437,1,10
14,29.9567842943909,1,12
14,30.3367727527532,1,14
15,19.4344591809048,1,8
15,24.4970485877451,1,10
15,23.6272917737093,1,12
15,26.1222446511917,1,14
16,23.3773515629877,0,8
16,19.457612448655,0,10
16,22.1827635111827,0,12
16,18.3919580284518,0,14
17,24.4143711704486,0,8
17,20.9322667785267,0,10
17,22.7917262197568,0,12
17,23.8962288774638,0,14
18,29.0100597208785,0,8
18,30.2862443739718,0,10
18,30.6696857290732,0,12
18,28.0822773670659,0,14
19,16.0718061765186,1,8
19,17.5546165136255,1,10
19,24.1457770817587,1,12
19,17.5151786275392,1,14
20,24.2625247804293,1,8
20,20.3774094923533,1,10
20,25.4460265418081,1,12
20,28.43439619356,1,14
21,16.0882843133469,0,8
21,20.7859070210152,0,10
21,16.427437079299,0,12
21,12.5219782759396,0,14
22,19.7666236249983,1,8
22,20.206858752284,1,10
22,22.8055477727465,1,12
22,20.2022788199277,1,14
23,21.4006937096685,0,8
23,23.192219258927,0,10
23,26.3324934884198,0,12
23,27.0213078264893,0,14
24,19.5287605052533,0,8
24,29.1686573272506,0,10
24,23.2532244333538,0,12
24,26.6079535046936,0,14
25,23.6595259848996,0,8
25,25.2815430217111,0,10
25,26.4090007175849,0,12
25,29.9384573027363,0,14
26,23.0833609165953,0,8
26,20.5985348319529,0,10
26,23.2355775430519,0,12
26,25.0688946440803,0,14
27,24.6300504690032,1,8
27,28.2801592618492,1,10
27,25.6075368074761,1,12
27,27.3876023080734,1,14
